director,avg_rating
Sam Chouia,9.3
Pramod Mohan,9.3
Rui Constantino,9.1
Arthur Sauvion,9.1
Vijay Sri G.,9.1
Arthur Maude,9.0
"Mabrur Rashid Bannah,",9.0
Peter Jackson,8.866666666666665
Rhonda Parker,8.8
Francis Ford Coppola,8.8
Romina Cortese,8.8
Jeff Fowler,8.8
Dan Steadman,8.8
"Lana Wachowski,",8.7
Aksel Rifman,8.7
"Shade Rupe,",8.7
Sidharta Tata,8.7
Christopher Nolan,8.617647058823527
Adam Ethan Crow,8.6
Kiran Nakti,8.6
Philipp M. Hönig,8.6
Stephen Belyeu,8.6
Riccardo Corradi,8.6
Ryan Oliver,8.6
Robert Delamere,8.6
Frank Darabont,8.6
Frank Capra,8.6
Robert Zemeckis,8.6
George Lucas,8.6
Michael Curtiz,8.5
Tony Kaye,8.5
Richard Dailey,8.5
Jonathan Salemi,8.5
"the ...                See full summary »\"",8.5
Mike Barkhoff,8.5
Atlas,8.5
Luc Besson,8.5
Maryo J. de los Reyes,8.5
"Josie Rourke,",8.5
Jeremy Laval,8.5
"Roger Allers,",8.5
Jacques Becker,8.5
"Ramesh Rana,",8.5
Jordan Wilson,8.4
Gulzar,8.4
"Nicholas Hytner,",8.4
Todd Phillips,8.4
"Anthony Russo,",8.4
Andrew Stanton,8.4
Park Chan-wook,8.4
Milos Forman,8.4
"Lee Unkrich,",8.4
Thomas Kail,8.4
Genndy Tartakovsky,8.4
David Fincher,8.4
"Bob Persichetti,",8.4
Quentin Tarantino,8.364285714285716
Darryl Wharton,8.350000000000001
Sidney Lumet,8.333333333333334
Steven Spielberg,8.333333333333332
Charles Chaplin,8.314285714285715
Michael Kenneth Fahr,8.3
Sriram Babu,8.3
John Lasseter,8.3
"Sebastian Balser,",8.3
Utpalendu Chakrabarty,8.3
Max Coultan,8.3
"tragedy ...                See full summary »\"",8.3
Dan Cordle,8.3
Joseph Kosinski,8.3
Lee Unkrich,8.3
Michel Gondry,8.3
Stanley Kramer,8.3
Michael Mann,8.3
Roberto D'Antona,8.3
"Stanley Donen,",8.3
Sergio Leone,8.3
Gus Van Sant,8.3
Blake Hunter,8.3
Robert Mulligan,8.3
Ridley Scott,8.299999999999999
Roman Polanski,8.28
Billy Wilder,8.28
Martin Scorsese,8.260000000000002
Bryan Singer,8.26
Mel Gibson,8.250000000000002
James Cameron,8.245454545454548
Alfred Hitchcock,8.233333333333333
John Carpenter,8.200000000000001
"Danny Boyle,",8.200000000000001
Florian Zeller,8.2
Celine Song,8.2
John Sturges,8.2
Sam Mendes,8.2
Gavin O'Connor,8.2
Brian Belefant,8.2
Sunil_Ponnam,8.2
Divya Bandaru,8.2
"Ethan Coen,",8.2
a small-time cocaine dealer,8.2
John McTiernan,8.2
James Breen,8.2
Curtis Hanson,8.2
Seung-Soo Lee,8.2
"Sergio Pablos,",8.2
G Surya Teja,8.2
"Andrew Stanton,",8.2
Buster Keaton,8.2
Bolong Ke,8.2
Raffaele Andreassi,8.2
M. Night Shyamalan,8.2
Peter Farrelly,8.2
Guy Ritchie,8.2
Sunil Prem Vyas,8.2
Anurag Kashyap,8.2
David Cherkasskiy,8.2
Gabriel Schmidt,8.2
Henry King,8.2
"Terry Gilliam,",8.2
Diego Rocha,8.2
"plots to overthrow the tyrannical government - with the help of a young woman.\"",8.2
Jon Watts,8.2
Stanley Kubrick,8.18
Brian De Palma,8.166666666666666
David Lean,8.157142857142857
"Victor Fleming,",8.14
"Pete Docter,",8.139999999999999
Fritz Lang,8.100000000000001
Jim Sheridan,8.1
George Miller,8.1
Richard Dursley,8.1
John G. Avildsen,8.1
Kurtis David Harder,8.1
James Mangold,8.1
Elia Kazan,8.1
Michael Cimino,8.1
Clovis Mello,8.1
Celso Ad. Castillo,8.1
Rajesh Pillai,8.1
Lewis Milestone,8.1
Sean Penn,8.1
"Dean DeBlois,",8.1
"Sarah Jane Inwards,",8.1
Lenny Abrahamson,8.1
"Clyde Bruckman,",8.1
David Yates,8.1
"Brad Bird,",8.1
Joe L. Roberts,8.1
Kris Sinioras,8.1
Tom McCarthy,8.1
Carol Reed,8.1
Harold Ramis,8.1
Brian Desmond Hurst,8.1
Ingmar Bergman,8.1
Robert Wise,8.1
Vladimir Denisenko,8.1
mistaken for a millionaire of the same name,8.1
the governor's daughter,8.1
Lasse Hallström,8.1
Steve McQueen,8.1
William Friedkin,8.1
"Joel Coen,",8.1
Stuart Rosenberg,8.1
Terry George,8.1
George Roy Hill,8.1
"\"\" a phony dentist; and \"\"Gorgeous",8.1
William Wyler,8.08
Orson Welles,8.075
Ron Howard,8.071428571428571
Brad Bird,8.055555555555555
David Lynch,8.05
Denis Villeneuve,8.042857142857143
John Huston,8.040000000000001
Oliver Stone,8.033333333333333
Wes Anderson,8.033333333333333
Richard Linklater,8.033333333333333
Rob Reiner,8.02
Chris Frieri,8.0
Tim Miller,8.0
Alan Parker,8.0
Tim Burton,8.0
Martin McDonagh,8.0
Richard Attenborough,8.0
James Gunn,8.0
"Dan Kwan,",8.0
"Frank Miller,",8.0
Tomm Moore,8.0
Spike Jonze,8.0
"an outlaw he \"\"sent up\"\" years ago",8.0
Damien Chazelle,8.0
Zack Snyder,8.0
Ernst Lubitsch,8.0
Tim McCusker,8.0
Frederick Tabiyus Nah IV,8.0
Richard Kelly,8.0
"Sumitra Bhave,",8.0
Kevin Costner,8.0
Tom Hooper,8.0
Camille Delamarre,8.0
T. Justin Ross,8.0
Mike Nichols,8.0
Norman Jewison,8.0
Stephan Taubert,8.0
"Ron Clements,",8.0
Joseph L. Mankiewicz,8.0
"Vijjapat Kojiw,",8.0
Martin Campbell,8.0
Edward Zwick,8.0
Jorge Fons,8.0
M. Padmakumar,8.0
"Edward Sedgwick,",8.0
Woody Allen,8.0
"Gary Trousdale,",8.0
Otto Preminger,8.0
Alejandro G. Iñárritu,8.0
RC Delos Reyes,8.0
Paul Greengrass,8.0
Werner Herzog,8.0
Jasmila Zbanic,8.0
Joss Whedon,8.0
Gabriele Muccino,8.0
Charles Laughton,8.0
Robert Aldrich,8.0
"Tomm Moore,",8.0
Morten Tyldum,8.0
Garth Davis,8.0
Jean-Pierre Melville,8.0
"Gary Halvorson,",8.0
"Vincent Paronnaud,",8.0
Nicolae Corjos,8.0
Peter Bogdanovich,8.0
"Byron Howard,",8.0
George Fitzmaurice,8.0
Sam Campos,8.0
Heather Robinson,8.0
John Fisk,8.0
Darren Aronofsky,8.0
Franklin J. Schaffner,7.980000000000001
Lars von Trier,7.95
Clint Eastwood,7.9399999999999995
"Merian C. Cooper,",7.900000000000001
Shôhei Imamura,7.9
Sebastian Li,7.9
"Joel Crawford,",7.9
Michel Hazanavicius,7.9
"Jean Cocteau,",7.9
Jon Favreau,7.9
Stanley Donen,7.9
"Michael Curtiz,",7.9
Hemanth M. Rao,7.9
Alfonso Cuarón,7.9
John Landis,7.9
Lee Tamahori,7.9
John Carney,7.9
J.J. Abrams,7.9
Howard Hawks,7.9
David Lussier,7.9
"Andrew Adamson,",7.9
Taika Waititi,7.9
Ericson Core,7.9
Faisal Hashmi,7.9
Sam Peckinpah,7.9
Mamoru Oshii,7.9
Hal Ashby,7.9
Nick Lang,7.9
Neill Blomkamp,7.9
Boris Baum,7.9
Gérard Oury,7.9
Eddie Garcia,7.9
Taylor Hackford,7.9
Tony Scott,7.9
Doug Liman,7.9
Rian Johnson,7.9
